Image number,Electron Energy,Opening,H_Length,H_Area,H_Height_1,H_Xpeak_1,H_Half max left_1,H_Half max right_1,H_Height_2,H_Xpeak_2,H_Half max left_2,H_Half max right_2,V_Opening,V_Length,V_Area,V_Height_1,V_Xpeak_1,V_Half max left_1,V_Half max right_1,V_Height_2,V_Xpeak_2,V_Half max left_2,V_Half max right_2,D_Opening,D_Length,D_Area,D_Height_1,D_Xpeak_1,D_Half max left_1,D_Half max right_1,D_Height_2,D_Xpeak_2,D_Half max left_2,D_Half max right_2
1,50.5,0.954,0.527,1.037,167.829,0.0338,0.0284,0.0392,189.398,0.615,0.608,0.618,0.954,0.491,0.838,200.308,0.0393,0.0227,0.0496,145.147,0.611,0.595,0.62,,,,,,,,,,,
2,55.5,0.956,0.487,0.806,99.052,0.0365,0.0341,0.0395,108.38,0.589,0.588,0.598,0.956,0.496,0.911,137.335,0.0365,0.0321,0.0524,128.966,0.59,0.583,0.607,,,,,,,,,,,
3,60.5,0.959,0.474,0.776,47.001,0.0365,0.0235,0.0371,47.181,0.564,0.56,0.568,0.959,0.474,0.771,66,0.0391,0.0275,0.0493,72.118,0.57,0.559,0.571,,,,,,,,,,,
4,65.5,0.963,0.441,1.358,205.142,0.0346,0.0262,0.0354,157.239,0.545,0.536,0.553,0.963,0.438,1.489,184.88,0.0553,0.0384,0.0658,210.856,0.564,0.544,0.577,,,,,,,,,,,
5,70.5,0.933,0.403,1.172,221.882,0.0305,0.0229,0.0377,196.189,0.521,0.505,0.525,0.933,0.384,1.516,219.374,0.0443,0.0294,0.0568,226.479,0.525,0.51,0.539,,,,,,,,,,,
6,75.5,0.933,0.388,1.932,204.831,0.0385,0.0258,0.0465,229.37,0.501,0.496,0.51,0.933,0.407,2.79,237.599,0.0419,0.0381,0.064,238.649,0.518,0.5,0.533,,,,,,,,,,,
7,80.5,0.932,0.421,3.196,207.79,0.0245,0.0178,0.0314,198.214,0.473,0.471,0.483,0.932,0.406,7.165,207.389,0.0537,0.0314,0.0556,212.458,0.491,0.477,0.505,0.932,0.261,0.799,229.79,0.0186,0.0131,0.0302,122.499,0.337,0.328,0.338
8,85.5,0.931,0.386,2.09,192.361,0.0189,0.0146,0.0253,199.162,0.457,0.452,0.461,0.931,0.399,2.622,173.924,0.0446,0.0343,0.0563,192.507,0.487,0.475,0.488,0.931,0.283,1.322,193.881,0.0215,0.0208,0.034,128.318,0.337,0.33,0.342
9,90.5,0.933,0.401,1.57,103.796,0.0451,0.0393,0.0459,111.315,0.468,0.467,0.474,0.933,0.381,1.748,125.285,0.0309,0.0239,0.0406,155.532,0.458,0.457,0.465,0.933,0.27,1.013,85.733,0.0296,0.025,0.035,27.19,0.336,0.327,0.342
10,95.5,0.934,0.386,1.751,93.019,0.0374,0.0308,0.0398,90.336,0.453,0.451,0.458,0.934,0.372,1.967,89.203,0.0331,0.0325,0.0504,122.683,0.459,0.458,0.46,0.934,0.269,0.863,108.793,0.0287,0.0206,0.0327,26.264,0.316,0.312,0.325
11,100.5,0.933,0.367,2.284,74.527,0.0412,0.0389,0.0419,52.976,0.45,0.44,0.451,0.933,0.35,2.236,59.17,0.0288,0.0268,0.0408,51.713,0.433,0.423,0.444,0.933,0.25,0.852,48.793,0.0243,0.0232,0.0338,46.245,0.311,0.302,0.316
12,105.5,0.933,0.374,2.298,88.068,0.0354,0.0276,0.0359,95.114,0.433,0.429,0.434,0.933,0.356,2.676,86.303,0.039,0.038,0.0405,153.222,0.436,0.423,0.438,0.933,0.246,0.911,78.692,0.0274,0.0267,0.0279,124.644,0.304,0.299,0.313
13,110.5,0.938,0.363,2.967,83.776,0.0306,0.03,0.0327,51.931,0.423,0.416,0.427,0.938,0.345,3.579,91.137,0.0368,0.0304,0.038,103.635,0.418,0.416,0.429,0.938,0.235,1.295,83.372,0.022,0.0134,0.0311,183.736,0.304,0.292,0.305
14,115.5,0.932,0.346,5.369,140.272,0.0295,0.0288,0.0358,108.536,0.4,0.396,0.409,,,,,,,,,,,,0.932,0.234,2.115,83.453,0.0244,0.0209,0.0259,199.73,0.295,0.284,0.299
15,120.5,0.933,0.336,6.176,193.277,0.0356,0.0287,0.0424,190.565,0.403,0.396,0.413,0.933,0.325,5.15,166.151,0.0376,0.0323,0.0522,136.299,0.401,0.399,0.421,0.933,0.228,2.452,179.62,0.0294,0.0257,0.039,166.531,0.296,0.293,0.302
16,125.5,0.933,0.32,5.035,210.414,0.0305,0.0153,0.0371,200.475,0.398,0.379,0.4,0.933,0.3,4.189,185.143,0.0559,0.0452,0.077,188.136,0.419,0.407,0.438,0.933,0.218,2.31,168.86,0.0192,0.0186,0.0256,200.566,0.281,0.272,0.295
17,130.5,0.935,0.313,4.944,204.447,0.0416,0.0262,0.0528,211.627,0.399,0.387,0.407,0.935,0.286,3.879,194.132,0.0335,0.0184,0.055,215.316,0.392,0.376,0.416,0.935,0.213,2.865,168.188,0.0463,0.0274,0.0601,116.829,0.299,0.29,0.303
18,135.5,0.935,0.29,4.435,200.219,0.0389,0.0239,0.0528,162.566,0.391,0.38,0.399,0.935,0.307,5.679,211.05,0.0349,0.0179,0.0549,212.276,0.387,0.372,0.406,0.935,0.2,2.788,215.443,0.028,0.0156,0.0445,105.869,0.282,0.273,0.282
19,140.5,0.933,0.284,5.058,218.415,0.0404,0.0269,0.0538,215.563,0.387,0.371,0.398,0.933,0.281,5.996,215.139,0.0401,0.0186,0.0581,212.952,0.388,0.373,0.402,0.933,0.181,1.902,217.859,0.0323,0.0204,0.0422,102.628,0.271,0.271,0.283
20,145.5,0.933,0.278,5.458,216.279,0.0379,0.0203,0.0467,215.63,0.376,0.36,0.389,0.933,0.272,5.396,213.129,0.0439,0.0313,0.0581,210.21,0.384,0.366,0.397,0.933,0.195,3.006,218.969,0.0304,0.0133,0.0428,140.561,0.265,0.265,0.277
21,150.5,0.935,0.276,6.274,208.649,0.0365,0.0245,0.0451,199.57,0.37,0.354,0.377,0.935,0.284,6.011,205.193,0.044,0.0309,0.0541,206.655,0.373,0.359,0.386,0.935,0.169,2.301,201.699,0.0364,0.0215,0.0488,133.345,0.273,0.264,0.281
22,155.5,0.933,0.28,6.646,180.691,0.0376,0.0224,0.0443,176.614,0.367,0.348,0.373,0.933,0.266,5.171,177.895,0.0291,0.0155,0.0443,178.259,0.353,0.34,0.37,0.933,0.181,2.878,180.683,0.0345,0.0214,0.0458,127.212,0.266,0.257,0.273
23,160.5,0.935,0.265,5.632,165.865,0.0383,0.0285,0.0449,144.693,0.36,0.344,0.369,0.935,0.274,4.371,135.629,0.0323,0.0191,0.049,157.138,0.353,0.342,0.367,0.935,0.173,1.919,168.264,0.0291,0.0188,0.0376,108.502,0.26,0.251,0.264
24,165.5,0.935,0.283,6.238,158.754,0.0422,0.0282,0.0449,156.9,0.357,0.347,0.362,0.935,0.282,4.392,138.506,0.0203,0.0169,0.0344,150.062,0.341,0.329,0.348,0.935,0.19,2.394,132.827,0.0294,0.0123,0.0375,58.954,0.259,0.24,0.263
25,170.5,0.935,0.283,5.301,109.564,0.0393,0.0261,0.0443,113.104,0.353,0.345,0.362,0.935,0.275,5.902,155.866,0.023,0.0204,0.0307,135.258,0.34,0.337,0.356,0.935,0.185,2.284,121.062,0.0274,0.026,0.0364,59.216,0.25,0.247,0.254
26,175.5,0.936,0.281,5.863,67.601,0.0299,0.0229,0.0368,51.391,0.329,0.326,0.341,0.936,0.276,6.495,128.472,0.0209,0.0159,0.0242,99.407,0.338,0.326,0.349,0.936,0.181,4.062,66.525,0.0303,0.0233,0.0425,71.322,0.249,0.245,0.258
27,180.5,0.933,0.27,5.486,86.76,0.0278,0.0189,0.0349,97.46,0.328,0.32,0.335,0.933,0.27,7.005,125.056,0.0146,0.0128,0.0247,83.797,0.322,0.32,0.324,0.933,0.172,4.206,80.059,0.02,0.008229,0.0291,143.737,0.227,0.22,0.246
28,185.5,0.934,0.264,5.478,95.267,0.0215,0.0144,0.031,105.438,0.326,0.318,0.331,0.934,0.266,7.011,154.771,0.037,0.0297,0.0396,120.635,0.327,0.326,0.343,0.934,0.167,4.219,94.302,0.0311,0.0192,0.0323,191.58,0.24,0.219,0.249
29,190.5,0.935,0.265,6.177,57.03,0.0373,0.0254,0.0444,83.624,0.327,0.319,0.334,0.935,0.267,7.386,113.712,0.0307,0.0246,0.0338,109.122,0.321,0.318,0.323,0.935,0.167,4.489,68.615,0.0237,0.0143,0.0358,192.499,0.233,0.217,0.247
30,195.5,0.932,0.263,5.152,51.152,0.0196,0.017,0.0337,50.403,0.324,0.316,0.326,0.932,0.264,6.331,65.293,0.0308,0.0294,0.0377,63.059,0.315,0.312,0.326,0.932,0.167,3.991,50.795,0.0209,0.0197,0.025,175.445,0.228,0.209,0.237
