Image number,Electron Energy,Opening,H_Length,H_Area,H_Height_1,H_Xpeak_1,H_Half max left_1,H_Half max right_1,H_Height_2,H_Xpeak_2,H_Half max left_2,H_Half max right_2,V_Opening,V_Length,V_Area,V_Height_1,V_Xpeak_1,V_Half max left_1,V_Half max right_1,V_Height_2,V_Xpeak_2,V_Half max left_2,V_Half max right_2,D_Opening,D_Length,D_Area,D_Height_1,D_Xpeak_1,D_Half max left_1,D_Half max right_1,D_Height_2,D_Xpeak_2,D_Half max left_2,D_Half max right_2
1,50.5,0.987,0.671,6.546,90.304,0.045,0.0398,0.0546,80.52,0.624,0.617,0.632,0.987,0.641,0.551,91.572,0.0511,0.0398,0.0615,119.064,0.623,0.612,0.634,0.987,0.892,18.845,93.877,0.0414,0.0334,0.0495,108.468,0.856,0.848,0.867
2,55.5,0.993,0.609,4.695,55.038,0.0225,0.0155,0.0295,55.836,0.577,0.569,0.584,0.993,0.599,5.173,54.302,0.0237,0.016,0.0336,42.901,0.569,0.561,0.581,0.993,0.842,16.092,64.231,0.029,0.0215,0.0354,53.812,0.807,0.798,0.815
3,60.5,0.992,0.601,12.777,191.235,0.0246,0.0159,0.0325,189.189,0.559,0.551,0.567,0.992,0.611,15.731,195.917,0.0286,0.0169,0.382,200.931,0.557,0.544,0.568,0.992,0.828,26.038,201.312,0.0299,0.0199,0.0388,211.491,0.782,0.772,0.793
4,65.5,0.997,0.578,15.933,215.139,0.0312,0.0208,0.0416,206.319,0.546,0.537,0.557,0.997,0.578,21.577,218.935,0.0285,0.016,0.0417,237.991,0.54,0.526,0.556,0.997,0.807,35.811,232.811,0.044,0.033,0.055,272.764,0.771,0.761,0.784
5,70.5,0.985,0.545,18.468,231.948,0.0202,0.0111,0.0313,220.805,0.512,0.504,0.523,0.985,0.559,24.342,237.419,0.0321,0.0181,0.0442,237.419,0.52,0.504,0.533,0.985,0.753,37.259,250.865,0.0243,0.0126,0.0342,252.211,0.717,0.706,0.73
6,75.5,0.969,0.38,3.863,198.782,0.0138,0.006019,0.0229,204.253,0.483,0.475,0.493,0.969,0.4,4.113,201.965,0.0299,0.0191,0.042,193.685,0.496,0.485,0.509,0.969,0.271,1.939,110.176,0.0182,0.009781,0.0276,211.328,0.345,0.337,0.355
7,80.5,1.002,0.438,3.9,148.768,0.0211,0.0149,0.0286,168.684,0.491,0.485,0.499,1.002,0.414,3.343,154.382,0.0224,0.0124,0.0311,155.212,0.487,0.478,0.497,1.002,0.268,1.519,113.387,0.0191,0.0118,0.0286,174.921,0.349,0.341,0.359
8,85.5,0.985,0.392,3.667,124.038,0.0224,0.0163,0.0296,120.727,0.472,0.466,0.479,0.985,0.373,3.087,125.312,0.0286,0.0201,0.0378,108.439,0.474,0.464,0.483,0.985,0.251,2.033,74.268,0.232,0.0146,0.0318,118.364,0.336,0.328,0.345
9,90.5,0.986,0.381,2.215,82.891,0.0212,0.0165,0.0284,82.301,0.456,0.449,0.461,0.986,0.37,1.954,90.48,0.0165,0.008571,0.0251,86.623,0.446,0.437,0.454,0.986,0.254,1.1,41.804,0.0279,0.0225,0.0332,84.207,0.33,0.324,0.338
10,95.5,0.971,0.388,2.322,80.961,0.0241,0.0186,0.0317,75.343,0.445,0.44,0.453,0.971,0.379,3.066,85.75,0.0224,0.0142,0.0305,75.968,0.441,0.433,0.449,0.971,0.251,1.704,72.141,0.0217,0.0149,0.0279,95.791,0.318,0.309,0.325
11,100.5,0.971,0.377,2.597,78.523,0.0228,0.0178,0.0294,60.462,0.437,0.432,0.442,0.971,0.365,4.869,87.041,0.0242,0.0165,0.0314,101.638,0.435,0.426,0.442,0.971,0.25,1.837,137.517,0.0243,0.0166,0.034,67.295,0.315,0.308,0.322
12,105.5,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,110.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,115.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,120.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,125.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
