Image number,Electron Energy,Opening,H_Length,H_Area,H_Height_1,H_Xpeak_1,H_Half max left_1,H_Half max right_1,H_Height_2,H_Xpeak_2,H_Half max left_2,H_Half max right_2,V_Opening,V_Length,V_Area,V_Height_1,V_Xpeak_1,V_Half max left_1,V_Half max right_1,V_Height_2,V_Xpeak_2,V_Half max left_2,V_Half max right_2,D_Opening,D_Length,D_Area,D_Height_1,D_Xpeak_1,D_Half max left_1,D_Half max right_1,D_Height_2,D_Xpeak_2,D_Half max left_2,D_Half max right_2
2763,64.5,0.925,0.619,10.814,144.278,0.0547,0.0444,0.059,130.39,0.561,0.553,0.568,0.925,0.623,11.148,134.373,0.0723,0.0628,0.0826,110.663,0.58,0.571,0.588,0.925,0.814,12.88,143.935,0.0506,0.0438,0.0562,103.654,0.768,0.763,0.778
2764,66.5,0.943,0.445,4.819,113.476,0.0391,0.028,0.0479,164.629,0.546,0.538,0.554,0.943,0.441,5.696,129.036,0.0274,0.0218,0.0407,174.013,0.528,0.522,0.539,,,,,,,,,,,
2765,68.5,0.938,0.648,16.971,176.777,0.0861,0.0734,0.0969,168.843,0.58,0.571,0.589,0.938,0.607,17.437,180.374,0.0441,0.0314,0.0551,178.332,0.535,0.524,0.552,0.938,0.828,17.975,119.347,0.0637,0.0556,0.0741,179.665,0.76,0.753,0.777
2766,70.5,0.94,0.44,5.195,104.029,0.0351,0.027,0.0466,186.455,0.53,0.52,0.538,0.94,0.422,5.379,105.195,0.027,0.0185,0.039,173.371,0.514,0.506,0.526,,,,,,,,,,,
2767,72.5,0.941,0.417,5.105,123.094,0.0306,0.0224,0.0367,167.91,0.513,0.505,0.523,0.941,0.4,4.203,135.92,0.0271,0.0192,0.041,177.645,0.511,0.5,0.523,,,,,,,,,,,
2768,74.5,0.934,0.426,4.798,165.863,0.0295,0.0201,0.0403,171.037,0.509,0.499,0.518,0.934,0.399,4.609,166.093,0.0278,0.0174,0.0368,181.281,0.504,0.492,0.514,,,,,,,,,,,
2769,76.5,0.926,0.639,15.112,179.179,0.0938,0.0845,0.102,174.051,0.57,0.56,0.577,0.926,0.582,18.172,191.442,0.051,0.0332,0.0601,187.014,0.519,0.507,0.528,0.926,0.752,19.345,178.537,0.0479,0.0353,0.0579,171.866,0.713,0.703,0.722
2770,78.5,0.936,0.409,4.044,159.942,0.0268,0.0205,0.0364,170.909,0.497,0.489,0.504,0.936,0.421,4.789,182.291,0.0372,0.025,0.0468,176.442,0.498,0.489,0.509,,,,,,,,,,,
2771,80.5,0.947,0.401,4.18,171.538,0.0214,0.0164,0.0321,125.06,0.484,0.479,0.492,0.947,0.386,5.744,163.306,0.0322,0.0246,0.0461,142.093,0.488,0.479,0.5,,,,,,,,,,,
2772,82.5,0.941,0.411,4.714,116.543,0.0338,0.0294,0.0445,79.981,0.492,0.484,0.501,0.941,0.391,3.985,111.19,0.0302,0.0228,0.0382,113.611,0.478,0.472,0.488,,,,,,,,,,,
